`` VBG NN '' VBD RB DT JJ NN IN NN .,1
"EX VBD DT JJ NN IN NNPS IN CC IN IN DT NN , VBG DT JJ NN RB NN .",1
"DT RB JJ JJ NN CC DT RBS JJ NN IN NNP , PRP VBZ RB TO PRP$ NNP CC NNP NNP NNP , NNP NNP .",1
"IN PRP VBZ JJ IN TO WRB NNP VBD VBN IN PRP$ NN , IN CD IN DT NNS IN PRP$ NN VBD JJR CC RBR JJ .",1
"RB JJ NNP VBZ DT JJ NN IN DT NNP NN IN NNP , NNP CC VBZ NN IN DT NNP NNP NNP NNP NN .",1
IN CD NNS IN NNP VBD VBN TO VB JJ NN ( CC IN CD NNS IN NNP .,1
NNP NNP CD IN VBN TO NNP VBD RB VBN IN NNP CD .,1
NNP VBD NN IN DT NNP NNP IN NNP IN CD : CC NNP VBD IN DT JJ NNP IN NNP ( CD ) .,1
"NNS RBS JJ NNS CD , VBN IN CD NNS , RBS RB CD NNP CD NN .",1
"NN IN DT NN VBZ VBN IN PRP$ JJ JJ , JJ CC JJ NNS , WDT VBP IN CD CD NNS RB .",1
"PRP VBZ VBN TO DT NN , NN PRP VBZ TO VB PRP$ NN .",1
"IN DT NNS IN DT NN VBP DT NNP NNP NNP , DT JJ NNP IN DT NNP NNP NNP NN , NN NNS , DT JJ NN NN , CC JJ JJ NNS .",1
NN VBZ DT NN IN NN WDT VBZ JJ NNS .,1
`` NNP NNP IN NNP .,1
NNS RB VBD TO DT NN IN DT NN .,1
`` NNP NNP NNP NNP NNP '' .,1
"IN NNP CD , NNP VBD VBN TO VB DT JJ JJR NN IN NN IN CD NNS IN CD IN PRP$ JJS NN , NNP NNP .",1
"DT NNP NNP VBD CD NN NNS , IN DT NNP VBD CD , VBG DT NNS TO VB DT NN .",1
"NNP NNP , NNP CC NNP NNP IN NNP NNP .",1
"IN DT CD NNP JJ NN , NNP , PRP VBP DT NNP , NNP NNP , NNP .",1
DT NN VBD VBN IN NNP NNP IN CD IN CD IN PRP$ JJ NN NNS .,1
"NN IN NNS IN NNP NNP NNP IN NNP VBZ DT JJ NN IN NNP NNP , NNP , NNP NNPS .",1
"DT NN VBD IN CD IN NN , VBD CC JJ NN ( NN CC NN ) VBZ RB VBN IN DT NN IN JJ NN IN JJ NNS IN DT NN .",1
"VBN NNP CD , CD .",1
JJ NNS IN NN VBP VBN NNP .,1
"DT JJ NN VBZ DT NNP NNP NNP NNP , NNP IN PRP$ JJ NN CC VBZ VBN DT NN IN NNP .",1
"NNP VBD VBG NNP NNP NNS CC MD RB RB VB PRP , VBG CD .",1
"NNP NNP NN IN NN NNP NNP , CD NNS , CD NNP CD , JJ NN .",1
"`` DT NNP '' VBD DT NN IN NNP POS NNP IN NNP , WDT VBD CD .",1
"NNP JJS NNS IN DT JJ JJ NNP VBG NN NNP NNP , CD , CD NNP CD , JJ NN .",1
"NNP , NNP NNP .",3
"DT NNS VBP JJ NN NNS , NNS IN DT JJS NN IN NN NN VBZ , VBG CD NNS .",1
"DT NN NN VBZ TO DT NN WRB DT NN NN , NNP , NNS DT NNP NN TO VB DT NNP POS NNP ( NNP NNP NNP , DT JJ JJ NN NN VBN IN DT JJ NNP CD ) NN , VBG IN DT NN VBN NN IN DT JJ NN .",1
"NNP IN IN JJ NN CC IN IN PRP$ NN TO VB DT RBR JJ NN , DT JJ NN VBD DT NN NN , RB NN IN DT JJ NN : `` JJ NN '' VBZ RB RB VB RB , RB JJ NN , NN CC DT JJ NN NNS .",1
PRP VBZ IN NNP IN DT NNP NNP NNP .,1
DT NNS VBP RBR JJ IN NNP ( NNP ) CD CC VBP VBN RB .,1
"DT NN IN DT NNP NNP NNP CC NN IN NNP NNP NNP IN DT NNP NNP NNP NNP NNP , DT IN PRP$ JJ NN NNS IN DT NN VBP DT JJ NNP ( CD ) , NNP NNP NNP ( CD ) CC NNP NNP ( CD ) , IN PRP VBZ VBN CC VBN NNS IN NNS VBG NNP NNP NNP ( CD ) CC DT NNP ( CD ) .",1
NN CC NN TO NNP NNP NN NNS CC NNP NNP NNP NN : NNP NNP DT CD NNP NN VBD DT JJ NN NN IN DT NNP NN IN DT NNP NNP IN NNP NNP IN CD NNP CD .,1
"NN CD VBD NN IN NNP CD , CD .",1
DT NN VBD VBN IN DT NN IN CD .,1
"PRP VBZ VBN VBN DT JJ NN NN CC VBZ VBN VBN IN DT JJ NN NN , NNP CD .",1
"NNS TO NN DT NN TO VB DT NNP NNP TO DT NNP NNP VBD VBN IN CD , CC DT JJ NN NNP NNP VBD DT NN IN DT NN IN DT NNP NNP IN DT JJ NN .",1
NNP NNP VBZ NNP IN NNP .,1
"NN IN DT JJ NN IN CD , NNP VBD : `` PRP VBZ PRP$ NN POS PRP VBD DT NN IN DT NNP CC NNP VBP RBR DT NN , PRP VBZ RB RB VBG , IN DT NN DT NN WP RB MD RB VB PRP VBZ DT NN .",1
"PRP VBD VBN IN CD NN IN DT NNP NNP VBD DT JJ NNP NN IN NNP NN CC VBZ VBN VBN RB TO DT NN : NNP IN NNP IN NN IN CD CC CD ( NN IN NNP NNP CC NNP NNP ) , NNP IN NNP IN CD CC CD CC IN CD CC CD , PRP VBD VBN IN NNP NNP IN CD .",1
NNP NNP NNP : NNP POS NN IN DT NN IN JJ NN NNS IN CD .,1
CD NN IN CD TO CD .,1
NNS NNP CC NNP VBP VBN .,1
"NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP , NNP NN NNP , NNP CC NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP .",1
NNP RB VBD DT NN NN IN NNP NNP IN NN IN CD NNP CD IN DT NN IN DT CD NN .,1
"NNP NNP NNS IN NN NNP NNP CC NNP NNP , DT CD JJS NN NNP NNP , CD NNS CD NNS , CD NNP CD , JJ NN .",1
"DT NN CC JJ NNS VBD NN IN NNP CD , CD CC CD IN DT NNP NNP IN DT NNP NNP NNP .",1
JJ NN VBZ DT JJ NN IN NN WDT VBZ JJ CC VBZ IN DT JJ NN IN NN .,1
"VBG NNS NNS IN NN VBP RB VBN IN JJ JJ NNS , JJ IN NN NN , NN NN CC NNS IN NNP .",1
"IN NNS VBN IN DT NNS IN NNP CC NNP , PRP VBD VBN IN PRP MD VB NNP NNP NNP ( WP VBD DT JJ NN IN NNP IN DT NN ) , NNP NNP , NNP NNP NN , JJ NNP CC NNP NNP NN .",1
"IN PRP$ JJ NNS , DT NN VBZ DT JJ NN IN NNP TO DT NN CC NN JJ NNS RB IN TO VB JJ TO VB NNP IN PRP$ JJ NN .",1
NN CC NN .,1
NN IN PRP IN IN NNP NNP IN NNP NNP NNP NNP NNP NNP NNP .,1
"EX VBD DT NN IN CD JJ NNS , TO VB JJ NN TO VB TO DT NN , CC DT NN NN IN DT NN IN DT NNP NNP .",1
NNP VBZ VBN IN CD CD CD NNP CD CD CD NNP ( CD .,1
"NNP NNP ) NNP NNP NNP ( JJ : CD , NN .",1
"( CD ) , `` DT NNP NNP IN NNP '' , NNP NNP CD ( CD ) : JJ NN DT NN NNP , NNP ( CD ) , `` VB NNP '' , NNP NNP CD ( CD ) : JJ NN DT NN NNP , NNP : NNP NNP ( CD ) .",1
"RB DT NN IN JJ DT NNP NNS , VBN IN DT RB NN IN PRP$ NN IN CD , VBD RB IN NNP NNP .",1
NNP VBZ VBP JJ NNS WDT VBP VBG TO NN CC NN .,1
"`` ( NNP , NNP NNP .",1
"CD , IN MD RB VB DT RB IN IN DT NN , RB IN NN CC PRP VBZ DT NN IN DT NN CC DT NN WDT VBZ DT NN DT CD NN NN .",1
NNP NNP NN VBD DT NNP NNP NNP ( NNP NNP ) IN CD .,1
"IN DT NN , NNP VBZ JJ NN NNS , VBG RB NNS VBN IN DT JJ NN CC DT JJ NN NN .",1
DT NNP NNP IN CD VBZ VBD TO VB VBN DT NN IN PRP$ .,1
"NNP , NNP CC NN .",1
NNP NN VBZ DT JJ NN VBG DT VBN CD NNS ( CD NNS ) IN NN .,1
PRP MD VB DT JJ NNP NN .,1
"DT CD NNS IN DT NN VBP : JJ NNP CC NNP NNP CC NNP NNP NNP NNP CC NNP NNP NNP CC NNP NNP NNP CC NNP DT NN RB VBZ NNP NNS NNP NN NN ( NNP NNP ) , WDT VBP CD CC CD NNS JJ NNS IN NN WDT MD VB VBN IN DT NN POS NNP .",1
NNP RB VBD IN DT NNP NNP IN DT JJ CC JJ NNS .,1
CD : .,1
"VBG CD , NNP VBD VBN IN DT NNP NNP JJ NN IN NNP NNP .",1
"NNP ( CD ) , IN NN , NNS TO DT NN IN JJ NN MD RB RB VB VBN IN JJ NN .",1
DT RBS JJ NN IN NN VBZ DT JJ NN ( NN .,1
"IN NNP CD , CD DT NNP NNP IN NNP VBD DT JJR NN IN NN WDT VBD DT JJ NN IN DT NN TO DT JJ NN .",1
NN VBZ JJ IN DT NNS IN NN NN .,1
"DT NN POS JJ NN IN NNS VBZ : NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NN NNP NNP NNP DT NNP NNP CD NNP NNP NNP NNP NNP NNP NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP FW NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP VBD NNP NNP NNP NNP NNP NNP NNP NN NNP NNP NNP NNP NNP NNP NNP NNP NNP VBZ NNP NNP NN JJ NNS VBN IN NNP VBP : NNP NNP NNP NNP NNP NNP NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NN NNP NNP VBZ NNP NNP NNP NNP NNP NNP NN NNP NNP NNP NNP ( RB VBN IN NNP NNP ) NNP NNP NNP NNP NNP CC NNP NNP NNP NNP NNP NNP NNP DT NNP NNP DT NNP IN NNP NNP NNP NNP NNP NNP NNP NNP VBZ NNP NNP NNP NNP NNP NNP NNP ( CD NNP CD , CD ) VBD DT JJ NNP NN CC NN VBN IN NNP NNP , NNP WP VBZ VBN IN VBG DT NN NN NN IN DT JJ NN .",1
"NNP VBD VBN IN DT NN IN DT JJ , WDT VBD VBN IN NNP CC NNP POS JJ NN NN , NNP NNP NNP .",1
"IN NNP , NNP VBZ IN PRP$ NN IN NNP VBZ JJR CC MD RB VB RB .",1
EX VBP CD .,1
"NNP NNP VBD DT NN TO VB NN IN NNS IN DT NNS , IN DT NN TO VB NN CC NN NN IN DT NN , IN DT JJ NNS RB VBG NNS IN DT NN NN .",1
"IN NNP CD , CD , NNP POS NN NN , NNP NNP , VBD VBN IN IN NNP , NNP .",1
PRP VBZ VBN IN DT NNP NNP CC DT JJ NN NN .,1
"DT NNS VBN IN NNP NN NNS VBP JJ NNS , NN NN , NN CC JJ NN NN , NN CC NNS NN , CC JJ JJ NN .",1
"DT NN VBD TO DT JJ CD JJ NN IN DT NNS IN NNP , NNP IN CD CC VBD IN CD IN DT NN IN JJ NNS , RB VBN IN PRP$ JJ NN VBN IN DT NN IN CD .",1
"EX VBZ RB DT NN VBN VBG NN IN DT JJ NN , IN $ CD CD , VBG DT JJ NN IN RB JJ IN CD NNS CC $ CD CD .",1
NN IN NNS CC NN IN NNS .,1
"CD JJ JJ NNS , RB VBN , VBD RB VBN IN NNP .",1
NNP .,116
"NNP NNP NNP , CD , CD NNP CD , JJ NN .",5
"PRP VBZ IN NNP POS NNS , WP VBZ IN TO VB DT JJ NN IN NNP .",1
"JJ NN NNS VBP JJ , NNP NNP , NNP NNP , NNP NNP , NNP NNP , CC DT NNP NNP IN DT NNP NNP ( CD ) .",1
"IN DT NN , DT JJ NN VBD TO VB IN NN NNS JJ TO JJ NN .",1
"IN NNP , NNP CD NNS RB IN NNP .",1
"IN CD , DT NN , RB DT NN , VBN NNS CC VBD DT JJ NN .",1
NN MD VB DT NN IN NN ( JJ IN NN ) .,1
"DT VBD RB RB DT JJ IN JJ NNS IN NNP NNP , CC DT JJ NN IN WDT DT NN VBD JJR IN CD NN .",1
"DT JJ NNS VBP RB VBN CC VBN , IN DT NN TO VB IN JJ JJ NN , NN , NN CC NNS , IN DT NNP NN IN DT JJ NN NN .",1
TO DT NN VBZ DT NNP NNP CD .,1
"VBN NNS CC NNS VBD JJ NNP NNP , NNP CC DT NNP , NNP NNP , NNP NNP , NNP , NNP NNP CC DT NNP , NNS IN CD NNP NNP , NNP NNP , NNP NNP , DT NNP NNP NN , CD VBN NNP CC NNP NNP .",1
"NNP NNP NNP NNP NNP ( NNP ) PRP VBP JJ NNS IN JJ IN NN NNS , CC NNS NN .",1
"NNP VBD RB VB DT NNP NN IN IN NN NN , VBG VBN TO NNP RB .",1
CD IN DT NN ) .,1
PRP VBD IN NN .,1
DT NN NN VBZ VBN IN DT JJ NN CC DT RB JJ NNS .,1
NNP NN IN DT NNP VBD VBN IN NNP CD IN NNP IN NNP FW NNP NN .,1
JJ NNP VBD RB DT NN IN NNP NNP .,1
"DT NN VBD JJ IN DT NNP POS NN IN DT JJ NN IN VBD NNP IN NNP CC JJ NNS , IN NNS .",1
"DT NN VBD IN JJ NNS CC , RB , JJ NN NNS , VBP JJ NNS WP$ JJ NN VBZ TO VB JJ NN .",1
"DT JJ NN VBD NNP NNS , VBG JJR NN CC JJ NNS , IN DT JJ VBD NN CC VBN IN DT NN RB .",1
"DT JJ NNS IN NNP NNP , NNP NNP CC NNP NNP , RB VBD DT JJ NNS NNP ( NNP VBZ : NNP NNP ) CC NNP .",1
"CD JJ NNS , DT NN IN IN CD .",1
"CD , DT NN IN NNPS WP VBP DT JJ NN NNS NN CC VBP IN NN IN JJ NN IN NN CC JJ NNS VBZ RB VBG .",1
VB RB JJ NNS .,1
NNP IN NNP CC NNP NNP .,1
"DT NNP NNP VBD DT NNS VBG NNS ( IN NN TO JJ NNS CC JJ NNS ) , CC RB JJ JJS IN DT NN .",1
"IN RB , DT NNS VBP JJ , CC IN DT NN VBZ , DT NNS VBP RB JJ .",1
NNP NNP NNP ( IN DT JJ NN IN IN DT NN NN NNP ) VBZ VBN RB IN DT JJ NN NNP NNP NNP .,1
"IN NNP CD , PRP VBD TO DT JJ NN NNP NNP NNP .",1
"PRP RB VBD CD JJ NNS : VBN TO DT NNP ( CD ) , NNP IN NNP ( CD ) CC NNP IN NNP ( CD ) .",1
PRP VBD VBN DT NN IN CD CC VBN NNP NNP IN DT CD NN .,1
IN PRP$ JJ NN PRP VBZ DT JJ NN DT IN PRP$ JJ NN CC IN NNP NNP WRB PRP VBZ DT VBG NN IN DT VBG NN CC NN VBG JJ NN NNP NNP .,1
"NNP NNP ( VBN NNP CD , CD IN NNP , NNP ) VBZ DT JJ NN CC NN .",1
"`` VBZ CD '' , VBD DT JJ NN IN DT JJ NNP NNP NN IN CD .",1
PRP VBZ DT NN IN DT JJ NN .,1
"IN DT CD IN PRP VBD WP RB VBD DT NN VBD DT JJ JJ JJ NN , CC DT JJ NN , IN IN DT NN DT JJ JJ NNS VBD RB RB RB JJ CC JJ IN JJ NN NN .",1
) DT NNS WDT VBP IN DT NN VBP VBN IN JJ NN VBG TO VB NN .,1
CD IN DT NN POS CD NN NNS VBD VBN IN DT JJS CD VBD NN .,1
"NNP CC NNP RB VBD RB CD NNS IN `` EX VBZ DT NNP NNP '' NN '' NN '' VBN , TO VB VBN TO VB NNS IN DT NN NN .",1
"NN CD NNS RB IN DT NNP NNP NN NN IN DT NN , JJ NN IN NNP NNP IN NNP , WRB PRP VBZ DT NNP NNP NN CC IN NNP NNP , WRB PRP VBZ DT NNP NNP IN NNP NNP .",1
"JJ NNS VBG IN NNP VBP DT VBN NNS TO NN , JJ NN CC NN .",1
"`` DT NNP '' VBD DT NN NN IN NNP NNP , WP VBD PRP$ JJ JJ NN IN NN NNP NNP .",1
NNP CD VBD NN IN DT CD NN .,1
IN NNP NNP POS NNP DT NNS VBP VBN TO IN `` NNS '' CC DT NN VBZ IN NNP VBG PRP$ VBG JJ NN IN JJ NNS .,1
"CD NNP CD NNP NNP ( NNP : NNP NNP NN ) VBD DT NN IN NNP , NNP WDT VBD IN NNP TO DT NN IN DT NNP NNP IN NNP .",1
IN DT NN VBZ IN DT JJ NN NN CC JJ NN PRP MD VB TO JJ NN IN NN .,1
"NNP VBD DT NN VBD JJ IN DT NNS IN CD NNS , CD NNS , CC CD NN NN .",1
"DT NNP VBD VBN IN DT NN , RB , DT JJ NN IN DT NN IN NNP NNP NNP ( CD ) , DT JJ CC JJ NN WDT VBD DT NN POS NN TO VB JJR JJ NN TO VB PRP$ NN ( NNP , DT NNP NNP .",1
NNP NN JJ .,1
"DT NN IN DT JJ NN IN DT NN VBD VBN , IN IN NNP NNP NNS , DT NN NNS VBP VBN JJ IN DT JJ NN , DT NN WP DT NN .",1
DT NNP NN NN NN VBZ DT NN WDT RB VBZ DT IN DT NNS WDT VBP IN DT NNP NNP NNP NN .,1
IN DT JJ DT NN VBZ PRP$ VBG NN IN PRP VBZ IN DT NNP NNP ( WP VBP DT JJ NN NN ) CC IN DT NNP NNP .,1
"IN DT NN , DT JJ NN TO VB DT JJ NN IN NN , VBG IN CD NNS IN CD TO CD NNS IN CD .",1
"IN DT CD JJ NNS VBG IN NNP , CD IN PRP VBD JJ IN DT NNP WRB DT NNS VBD RP .",1
VBN PRP$ JJ JJ NN IN DT NN .,1
"IN DT NN IN NNP CD , DT NNS IN DT NNP NN NN VBD VBN .",1
"NNP NNP NNP ( VBN NNP CD CC CD , CD ) VBZ DT NNP NN WP VBZ DT NN IN NNP NNP .",1
"IN CD NNP CD , PRP VBD TO NNP IN DT CD NN NN .",1
IN CD NNP VBD DT JJ NN IN DT NN TO VB DT NN TO VB JJ JJ NN .,1
IN DT NNP NNP VBZ DT NN IN NNP NN IN JJ NNP .,1
"IN VBG IN DT NN , NNP VBZ PRP$ NNS IN NNP TO NNP IN DT JJ NN .",1
"RB , DT NN IN JJ CC JJ NN MD VB JJ NNS .",1
"NNP '' VBZ RP , WRB `` VB NNP '' WDT VBD DT JJ NNP VBD VBD RP .",1
NNP VBD DT JJ NN IN NNP NNP IN CD .,1
"DT JJ NN , NNP , VBD VBN IN NNP CC VBN NNS IN NNP , IN DT JJ NNS .",1
NN VBZ VBN TO VB VBN IN CD CC MD VB VBN IN CD IN DT JJ NNP NNS .,1
RB NN IN DT NN NN VBZ CD IN DT JJ IN CD VBG JJ NN NNS IN DT NNP CC NNP .,1
DT VBD DT NNS IN DT CD NNS IN DT CD NN IN NNP NNP NNP IN NNP .,1
DT VBZ VBN IN DT JJ NN NN .,1
"JJ NN VBD RB VBN IN RB , CC JJ WRB NN : NNP NNP VBD IN PRP VBD VBN JJ CC JJ '' , CC RB VBD DT NN IN RB VBN CC JJ '' .",1
"NN NNS NN IN JJ NN JJ , JJ JJ NNS .",1
DT NN IN DT JJ NN VBZ NNP NNP .,1
"NNS VBP VBN IN DT NN , IN WDT DT NNS VBP .",1
"PRP VBZ VBN IN IN DT CD VBN NN NNS , RB CD VBP VBN VBN IN JJ JJ NNS .",1
"DT JJ NN VBD DT NN NN NN CC CD NNS IN NNP , VBG RP DT NN NN , CC VBG DT NNP .",1
"DT JJ NN IN NNP , PRP$ NN , DT NN IN DT NN IN PRP , PRP$ JJ NNS , PRP$ NN CC JJ NN , PRP$ JJ NN IN DT NNP , DT NNP : JJ NN , NN , NN , NN , NNS IN NNP , NN .",1
RB IN DT JJ NN EX VBP VBN IN JJS CD NNS TO VB PRP DT NN VBN IN DT NNP NNP .,1
"PRP VBD RB VB DT PRP$ NNS IN DT CD NN WDT VBD VBN IN CD , VBG TO DT NNS IN DT NN IN DT CD NN .",1
JJ NN : NNS .,1
"PRP VBD VBN IN CD , CC NN IN CD JJ NNS CC DT NN JJ .",1
"IN DT CD NN , DT NN IN NNP VBD IN DT JJ NN NNS : CD CC JJR ( CD .",1
NNP NNP NNP : JJ NNS .,1
"PRP VBD IN CD NN NNS , WDT PRP VBD IN DT NN IN CD NNS CC CD NNS .",1
DT NNP VBP VBN TO VB IN NNS CC NNS .,1
"NNP VBZ DT NN IN NNP NN IN DT JJ NN IN NNP , NNP .",1
"CD NN NNP NNP , CD .",1
"NNP NNP NNP IN PRP$ NN IN NNP CD , CD TO NNP NNP NNP VBD DT JJ NN IN DT NN IN NNP NNP NN : `` TO RB VB DT NN PRP VBD VBN TO VB VBG NN NNS IN DT NN IN DT NNP NNP .",1
IN IN NNP CD CC NNP .,1
NNP POS NNP NNP NNP DT NNP NNP `` NNP NNP .,1
"NNP VBD DT NN IN NNP NNP IN IN PRP VBD RB VBN IN DT NNP NNP CC IN DT NNP NN , RB VBN DT JJ NN IN NNP POS JJ NN .",1
"IN DT NN IN NNP NNP DT JJ NN , NNP VBD IN DT NN : `` PRP VBP DT NN VBD IN DT NN IN VBG NN CC NN CC VBG PRP IN DT NN IN WP PRP VBD TO VB , RB IN `` WP DT NN VBZ DT NNS .",1
"NNP IN NN NN , VBG NN , JJ , JJ NN CC JJ NN .",1
`` NNP '' ) VBP RB JJ IN DT JJ NN IN DT NNP NNP IN NNP CD .,1
"IN DT NN , NNP VBD VBN DT NN IN DT NN IN RB CD NNS .",1
"IN CD , NNP VBD NN TO DT JJR NN CC JJR NNS IN DT NN VBG VBN IN NNP NNP IN DT JJ NN IN CD .",1
JJ CC JJ NNS RB VBP DT NN .,1
"DT JJ NN IN DT NN NN MD VB VBN VBN TO DT NN IN NNP POS NN NN IN DT JJ NN , `` NNP NNP '' .",1
"DT JJ NNP NNP VBD VBN IN CD , CC IN PRP$ NN IN NNP , DT NN MD VB VBN TO VB NNP .",1
"IN DT NN MD VB VBN IN DT NN , PRP MD VB VBN IN VBG VBN CD NNS RB .",1
VBN IN DT NNP .,1
PRP VBD DT JJ NN IN DT NNS IN DT CD NNP FW FW NNP .,1
"VBG NN NN CC NN TO VB JJ JJ NN , PRP VBD NN WDT VBD JJ IN JJ NN .",1
DT NN IN DT NN VBD IN DT JJ NN IN DT NN WDT MD VB JJ IN DT NN .,1
NNP VBD DT JJ JJ NN IN DT JJ NN IN DT JJ NN .,1
"RB IN , DT JJ NN VBD VBN RP IN DT NN NNP NN .",1
VBG NN NNS VBZ RB VBN IN RBR RB JJ NN IN VBN IN VBG NNS .,1
IN NNP NNP .,1
"DT JJS JJ NN IN DT NN VBD DT JJ NN , VBN IN NNP NNP IN CD .",1
"DT NN VBZ RB VBN TO RB IN NNP , RB VBG TO NN IN NNP IN NNP .",1
"RB RB IN DT JJ NNS POS NN EX VBP RB NNP NN NNS IN DT JJ NN NNS JJ IN IN CD , IN CD , IN CD CC IN CD .",1
JJ NNS VBP RB VBN DT NN IN DT JJ NN IN JJ NN .,1
"JJ NNP NN NNP NN ( NNP NNP NNP ) DT NN CC NN IN NNP NNP NNP , VBG NNS CD ( , NNP CD ) VBD VBN IN NNP NNP JJ NNP ( , NNP NNP FW NNP ) RB NNS NN , NN IN NNP NNP .",1
"DT NNP NN VBZ CD JJ NNS : DT NNS MD VB VBN IN CD NNS IN DT IN DT NNS VBG RB JJ NNS : IN NNS VBP RB VBN IN DT JJ NN , DT NNS VBP NN IN DT NN IN NN .",1
"DT NN VBD RB TO NNP , WRB PRP$ NN VBD IN DT NNP NNP CC VBD RB VBN NNP IN NNP IN DT NNP .",1
"`` NN CD VBZ , `` CC PRP VBZ JJ NNS , RB IN PRP VBZ NN VB RP IN VBN IN DT NN IN DT NN IN NNS , CC VB PRP WDT VBP IN DT NN IN DT NNS IN DT NNS WDT PRP VBD NN TO VB IN DT NN IN DT NN : VBG TO PRP WDT VBP IN DT NN , IN PRP VBP VB DT NN TO DT NN , WDT VBD DT NN IN DT NN , CC VBD VB .",1
"IN RB RB VBN IN DT NN , DT NN VBD DT JJ NN IN DT NNP NNP .",1
"NNP NNP ) CD ( JJ : CD , NN .",1
PRP VBD JJ NN IN NNP CC NNP IN VBG IN TO VB NNP IN NNP IN CD CC CD .,1
"DT NNP NNP VBZ VBN IN DT NN IN DT NNP NNP , CD IN DT JJS NNS IN NNS TO DT NNP NNP .",1
"JJ NNS VBN IN NNP WP VBP RB NNP VBP JJ NNS IN DT NNP , NNP , NNP CC NNP NNS .",1
NNP NNP ) NNP NNP ( NN .,1
"NNP ( NNP : ) VBZ DT NN IN DT NNP NNP , IN DT NNP NNP IN NNP .",1
"DT NN IN DT NN IN CD VBD CD , WDT VBD TO DT CD .",1
DT NN VBZ TO VB PRP$ NNS TO NN CC DT NN CC VBZ PRP$ NN TO VB NNS IN JJ NN NNS .,1
CD NN .,5
"DT NN VBZ IN CD NN NNS , JJ NN CC NN , JJ NN , NN NN CC NN , NN CC NN , JJ NN NN , CC DT NN IN NN NNS IN JJ NN .",1
"IN DT JJ NN VBG JJ NNS IN DT NNS MD , RB , VB RB IN JJ IN DT NN .",1
EX VBP RB VBN NN IN DT NNS IN JJ NNS IN PRP VBZ DT NN IN NNP NNP .,1
"DT JJS NN IN PRP VBP RB VBN '' , WDT VBZ RP TO VB `` DT NN WDT VBZ VBN IN NNS '' .",1
"DT JJ NN VBZ CD NN , CD .",1
DT JJ NN VBD VBN IN PRP$ NN IN DT NN ( RB NN ) CC NN .,1
PRP VBD DT NN IN PRP$ NN .,1
"NNS , IN NN , RB RB VB DT JJ NN IN NN ( WDT MD VB VBN RB RB ) , CC PRP RB VBP NN , JJ NN NN , CC JJ NNP .",1
"DT NNS VBD DT IN NNP POS NN CC NN NN , CC CD NN IN PRP$ NN .",1
DT NN VBD DT NNP IN NNP IN CD .,1
"DT NN VBD VBN IN NNP CD , CD IN NNP NNP , IN NNP .",1
"NNP NNP NN IN DT NNP NNP NNS NNP NNP , CD NNS , CD NNS , CD NNP CD , JJ NN .",1
NNP NN .,5
"DT NNP NNP VBZ VBN JJ NNS IN NNS , DT IN PRP VBG IN JJ NNS .",1
"IN DT NN IN CD NNP , IN DT NN IN DT NNP NNP , NNP VBZ NNP NN , JJ NNP NNP NNP , VBD NNP NN .",1
: NN .,1
DT NN VBD CD JJ NNPS .,1
DT NNP NNS VBP RB VBN NNP NNP NNP IN DT NN NN IN PRP$ NNP NNS .,1
PRP VBD NNP NNP NNP NNP CC NNP NNP .,1
"IN DT NNS VBN RP IN NNP IN DT NN , RB PRP$ NN NN VBD VBN .",1
CD NN WP VBD CD NNS IN NN CC JJR .,1
"RB , NNP , RB IN DT JJ NN , VBZ CD IN DT JJS NN VBZ NNS IN DT NN .",1
"CD CD NN , VBG DT NN IN JJ JJ NNS VBN IN DT JJ NN .",1
DT RB VBN VBG NN VBD NNS IN JJ NNS .,1
"RB TO VBG NNP , NNP VBD DT NN IN DT NNP NNP NNP NN IN DT JJ NN NN NNP NNP NNP .",1
"NNP NNP NNP VBD VBN IN NNP CD , CD , IN DT NN IN NNP NNP NNP CC NNP NNP NNP .",1
CD : CD .,2
"DT JJ NNP NNP POS NN VBD NNS IN NNS POS IN NN CC NN , IN DT NNP NNP NN VBN IN VBG DT NN IN DT JJ NNP NN .",1
"DT NN , VBN NNP CD , VBZ VBN RB CD NN IN DT NN POS NN .",1
DT NN IN NNS NNS IN JJ NNS TO VB DT NN IN DT JJ NN IN NNP POS JJ NN .,2
"NNP NNP ) NNP NNP NNP NNP ( CD , NNP NNP NNP ) NNP ( CD , NNP NNP ) NNP NNP DT NN VBZ DT JJ NN ( CD , NNP NNP NNP ) NNP NNP ( CD , NNP NNP ) DT JJ NN IN NNP ( CD , NNP ) NNP NNP NNP NNP IN NNP ( CD , NNP NNP ) DT NNP NNP ( CD , NNP NNP ) NNP ( CD , NNP ) NNP VBZ DT NNP ( CD , NNP ) NNP ( IN NN : NN TO NN , VBG `` NN IN DT NNS '' ) VBZ DT JJ NN CC NN IN NNP NNP , NNP NNP .",1
"RB , CD .",1
DT NNP CC NNS CC NNS DT NN NNS .,1
